,station_id,road_id,km,name,longitude,latitude,altitude,timezone
1006,20839,169,316,км 316+000 а/д Р-404 Тюмень-Ханты-Мансийск,58.724505,68.859277,0,3
1007,20840,169,345,км 345+000 а/д Р-404 Тюмень-Ханты-Мансийск,58.931872,69.094858,0,3
1008,20841,169,370,км 370+300 а/д Р-404 Тюмень-Ханты-Мансийск,59.136513,68.991915,0,3
1009,20842,169,410,км 410+000 а/д Р-404 Тюмень-Ханты-Мансийск,59.443345,69.066835,0,3
1010,20843,169,437,км 437+000 а/д Р-404 Тюмень-Ханты-Мансийск,59.587663,69.402238,0,3
1011,20844,169,493,км 493+000 а/д Р-404 Тюмень-Ханты-Мансийск,59.725457,70.329772,0,3
1012,20845,169,529,км 529+000 а/д Р-404 Тюмень-Ханты-Мансийск,59.807778,70.941023,0,3
1013,20846,169,542,км 542+100 а/д Р-404 Тюмень-Ханты-Мансийск,59.88413,71.12302,0,3
1014,20847,169,568,км 568+600 а/д Р-404 Тюмень-Ханты-Мансийск,60.048572,71.418795,0,3
1015,20848,169,590,км 590+000 а/д Р-404 Тюмень-Ханты-Мансийск,60.167888,71.693508,0,3
1016,20849,169,614,км 614+700 а/д Р-404 Тюмень-Ханты-Мансийск,60.322743,71.993555,0,3
1017,20850,169,642,км 642+000 а/д Р-404 Тюмень-Ханты-Мансийск,60.774885,72.352048,0,3
1018,20851,169,772,км 772+800 а/д Р-404 Тюмень-Ханты-Мансийск,60.98458,71.926392,0,3
1019,20852,169,846,км 846+400 а/д Р-404 Тюмень-Ханты-Мансийск,60.968552,70.859097,0,3
1020,20853,169,881,км 881+000 а/д Р-404 Тюмень-Ханты-Мансийск,61.087103,70.288035,0,3
1021,20854,169,916,км 916+800 а/д Р-404 Тюмень-Ханты-Мансийск,60.964335,69.703093,0,3
1022,20855,169,949,км 949+800 а/д Р-404 Тюмень-Ханты-Мансийск,61.034822,69.164327,0,3
1023,20856,170,7,"км 7+800 а/д Р-404, подъезд к г. Сургут",61.056935,72.609993,0,3
1024,20857,170,30,"км 30+200 а/д Р-404, подъезд к г. Сургут",61.174525,72.847418,0,3
1025,20901,179,14,км 14+000 а/д А-280 (М-23)  Ростов-на-Дону-Таганрог,47.2694,39.5069,0,3
1026,20902,184,305,км 305+000 а/д Р-216 (А-154) Астрахань-Ставрополь,46.3148,44.3229,0,3
1027,20903,20,377,км 377+000 а/д А-260 (М-21) Волгоград-Каменск-Шахтинский,48.3461,40.0362,0,3
1028,20904,184,222,км 222+000 а/д Р-216 (А-154) Астрахань-Ставрополь,46.1643,45.3398,0,3
1029,20905,178,895,км 895+000 а/д А-270 (М-19) Москва-Майский,47.7629,39.9497,0,3
1030,20906,184,138,км 138+000 а/д Р-216 (А-154) Астрахань-Ставрополь,46.3191,46.3643,0,3
1031,20908,180,253,км 253+400 а/д Р-215 Астрахань-Махачкала,44.898611,46.621111,0,3
1032,20909,20,282,км 282+000 а/д А-260 (М-21) Волгоград-Каменск-Шахтинский,48.2536,41.0236,0,3
1033,20910,20,220,км 220+000 а/д А-260 (М-21) Волгоград-Каменск-Шахтинский,48.358,41.7617,0,3
1034,20911,179,51,км 51+000 а/д А-280 (М-23)  Ростов-на-Дону-Таганрог,47.320454,39.02767,0,3
1035,20912,179,97,км 97+000 а/д А-280 (М-23)  Ростов-на-Дону-Таганрог,47.188445,38.510528,0,3
1036,20913,179,117,км 117+000 а/д А-280 (М-23)  Ростов-на-Дону-Таганрог,47.1612,38.2619,0,3
1037,20914,50,263,"км 263+251 а/д Р-22 (М-6) ""Каспий"", подъезд к г. Элиста",46.583685,44.283891,0,3
1038,20915,50,202,"км 202+000 а/д Р-22 (М-6) ""Каспий"", подъезд к г. Элиста",47.2095,44.5385,0,3
1039,20916,180,112,км 112+500 а/д Р-215 Астрахань-Махачкала,45.786389,47.245833,0,3
1040,20917,16,1371,"км 1371+900 а/д Р-22 (М-6) ""Каспий""",46.463322,47.967045,0,3
1041,20918,16,1252,"км 1252+900 а/д Р-22 (М-6) ""Каспий""",47.238889,46.989722,0,3
1042,20919,16,122,"км 122+000 а/д Р-22 (М-6) ""Каспий""",47.967,44.604,0,3
1043,20920,16,1210,"км 1210+100 а/д Р-22 (М-6) ""Каспий""",47.559722,46.711389,0,3
1044,20921,16,1130,"км 1130+700 а/д Р-22 (М-6) ""Каспий""",48.0725,46.076667,0,3
1045,21001,162,35,км 35+700 а/д А-151 Цивильск-Ульяновск,55.54,47.427,0,3
1046,21002,162,114,км 114+780 а/д А-151 Цивильск-Ульяновск,54.894,47.531,0,3
1047,21003,162,94,км 94+100 а/д А-151 Цивильск-Ульяновск,55.068,47.578,0,3
1048,21004,162,71,км 71+810 а/д А-151 Цивильск-Ульяновск,55.265,47.56,0,3
1049,21005,55,597,"км 597+000 а/д М-7 ""Волга""",56.054,46.451,0,3
1050,21006,55,582,"км 582+670 а/д М-7 ""Волга""",56.038001,46.250467,100,3
1051,21007,55,550,"км 550+300 а/д М-7 ""Волга""",56.051,45.848,0,3
1052,21008,55,512,"км 512+000 а/д М-7 ""Волга""",56.056,45.214,0,3
1053,21009,55,446,"км 446+625 а/д М-7 ""Волга""",56.103,44.302,0,3
1054,21010,55,468,"км 468+250 а/д М-7 ""Волга""",56.028,44.608,0,3
1055,21011,55,480,"км 480+930 а/д М-7 ""Волга""",55.989,44.767,0,3
1056,21012,55,498,"км 498+000 а/д М-7 ""Волга""",56.015,45.011,0,3
1057,21013,55,584,"км 584+000 а/д М-7 ""Волга""",56.039,46.273,0,3
1058,21014,55,615,"км 615+750 а/д М-7 ""Волга""",56.042223,46.754143,0,3
1059,21015,55,637,"км 637+000 а/д М-7 ""Волга""",56.107619,47.051787,0,3
1060,21016,55,656,"км 656+000 а/д М-7 ""Волга""",56.041,47.292,0,3
1061,21017,55,679,"км 679+000 а/д М-7 ""Волга""",55.8607,47.4626,0,3
1062,21018,55,729,"км 729+668 а/д М-7 ""Волга""",55.773,48.196,0,3
1063,21201,186,105,"км 105+400 а/д А-118 Первая очередь ""КАД"" г. СПб",59.867853,29.780147,100,3
1064,21202,186,115,"км 115+300 а/д А-118 Первая очередь ""КАД"" г. СПб",59.91710984,29.66128939,0,3
1065,21203,186,101,"км 101+300 а/д А-118 Первая очередь ""КАД"" г. СПб",59.837311,29.815326,100,3
1066,21204,186,95,"км 95+300 а/д А-118 Первая очередь ""КАД"" г. СПб",59.812309,29.898248,100,3
1067,21205,186,86,"км 86+600 а/д А-118 Первая очередь ""КАД"" г. СПб",59.81591893,30.04558346,0,3
1068,21206,186,79,"км 79+600 а/д А-118 Первая очередь ""КАД"" г. СПб",59.0,30.0,0,3
1069,21208,186,70,"км 70+700 а/д А-118 Первая очередь ""КАД"" г. СПб",59.82369764,30.29546079,100,3
1070,21209,186,68,"км 68+500 а/д А-118 Первая очередь ""КАД"" г. СПб",59.81016827,30.32576808,100,3
1071,21211,186,54,"км 54+900 а/д А-118 Первая очередь ""КАД"" г. СПб",59.861329,30.520051,100,3
1072,21212,186,50,"км 50+900 а/д А-118 Первая очередь ""КАД"" г. СПб",59.0,30.0,0,3
1073,21213,186,44,"км 44+800 а/д А-118 Первая очередь ""КАД"" г. СПб",59.95124631,30.54576751,0,3
1074,21214,186,44,"км 44+300 а/д А-118 Первая очередь ""КАД"" г. СПб",59.952068,30.545706,0,3
1075,21217,186,30,"км 30+900 а/д А-118 Первая очередь ""КАД"" г. СПб",60.044776,30.431877,100,3
1076,21218,186,29,"км 29+500 а/д А-118 Первая очередь ""КАД"" г. СПб",60.052019,30.405444,100,3
1077,21219,186,23,"км 23+300 а/д А-118 Первая очередь ""КАД"" г. СПб",60.093948,30.358175,100,3
1078,21220,186,81,"км 81+200 а/д А-118 Первая очередь ""КАД"" г. СПб",59.0,30.0,0,3
1079,21221,186,78,"км 78+900 а/д А-118 Первая очередь ""КАД"" г. СПб",59.803548,30.17486,100,3
1080,21222,186,71,"км 71+700 а/д А-118 Первая очередь ""КАД"" г. СПб",59.83134044,30.2863654,0,3
1081,21224,186,57,"км 57+200 а/д А-118 Первая очередь ""КАД"" г. СПб",59.853495,30.48608,100,3
1082,21225,186,56,"км 56+000 а/д А-118 Первая очередь ""КАД"" г. СПб",59.85677802,30.50967784,0,3
1083,21301,180,79,км 79+100 а/д Р-215 Астрахань-Махачкала,45.893611,47.611111,0,3
1084,21302,180,253,км 253+400 а/д Р-215 Астрахань-Махачкала,44.898611,46.621111,0,3
1085,21303,184,165,км 165+000 а/д Р-216 (А-154) Астрахань-Ставрополь,46.322945,46.254008,0,3
1086,21304,184,22,км 22+150 а/д Р-216 (А-154) Астрахань-Ставрополь,46.264444,47.851389,0,3
1087,21305,184,70,км 70+000 а/д Р-216 (А-154) Астрахань-Ставрополь,46.274722,47.259444,0,3
1088,21306,20,240,км 240+000 а/д А-260 (М-21) Волгоград-Каменск-Шахтинский,48.323682,41.582936,0,3
1089,21307,16,1175,"км 1175+000 а/д Р-22 (М-6) ""Каспий""",47.748333,46.394444,0,3
1090,21308,16,1321,"км 1321+000 а/д Р-22 (М-6) ""Каспий""",46.4,47.74,0,3
1091,21309,50,165,"км 165+000 а/д Р-22 (М-6) ""Каспий"", подъезд к г. Элиста",47.173923,44.520485,0,3
1092,21310,50,287,"км 287+000 а/д Р-22 (М-6) ""Каспий"", подъезд к г. Элиста",44.264938,46.371731,0,3
1093,21311,50,96,"км 96+000 а/д Р-22 (М-6) ""Каспий"", подъезд к г. Элиста",47.737714,44.534301,0,3
1094,49999,24,0,км 0+000 а/д Р-120 (А-141) Орёл-Смоленск,53.267,34.279,213,3
1095,50000,193,18,км 18+700 а/д Tallinn-Ikla,59.31006,24.57125,39,3
1096,50001,194,4,км 4+600 а/д Tallinn-Türi,59.35939,24.76826,46,3
1097,50002,195,119,км 119+400 а/д Tallinn-Narva,59.43359,26.70641,50,3
1098,50003,196,5,км 5+700 а/д Tallinn-Kloogaranna,59.42978,24.55765,20,3
1099,50004,211,8,км 8+580 а/д Краснодар-Ейск,45.19694444444444,38.99916666666667,0,3
1100,50006,211,65,км 65+400 а/д Краснодар-Ейск,45.637527,38.972054,0,3
1101,50008,211,118,км 118+600 а/д Краснодар-Ейск,46.057333,39.000416,0,3
1102,50010,211,177,км 177+400 а/д Краснодар-Ейск,46.527158,39.004699,0,3
1103,50012,212,222,км 222+223 а/д Белый-Темрюк,46.640451,38.455444,0,3
1104,50014,213,149,км 149+321 а/д Темрюк-Кропоткин,45.257611,37.345444,0,3
1105,50016,213,69,км 69+192 а/д Темрюк-Кропоткин,45.211929,38.106451,0,3
1106,50018,213,33,км 33+442 а/д Темрюк-Кропоткин,45.252457,38.469051,0,3
1107,50020,213,0,км 0+253 а/д Темрюк-Кропоткин,45.059959,38.767589,0,3
1108,50030,214,69,км 69+803 а/д Тимашевск-Приморско-Ахтарск,46.02972222222222,38.28333333333333,0,3
1109,50032,215,34,км 34+948 а/д Стародеревянковская-Кисляковская,46.30425,39.356103,0,3
1110,50034,216,69,км 69+900 а/д Журавская-Тихорецк,45.861333,40.074583,0,3
1111,50036,217,64,км 64+045 а/д Тихорецк-Белая Глина,46.06216,40.838355,0,3
1112,50038,218,93,км 93+118 а/д Усть-Лабинск-Упорная,44.9175,40.59194444444444,0,3
1113,50040,218,122,км 122+271 а/д Усть-Лабинск-Упорная,44.680091,40.688895,0,3
1114,50042,219,68,км 68+570 а/д Майкоп-Туапсе,44.43529,39.51516,0,3
1115,50044,220,7,км 7+300 а/д Кореновск-Тимашевск,45.51539,39.3216,0,3
1116,50046,223,38,км 38+700 а/д Кубанская-Саратовская,44.683751,39.304802,0,3
1117,50048,222,46,км 46+794 а/д Андреева Гора-Анапа,44.930332,37.343945,0,3
